state_code,cluster
UT,Cluster 0
AL,Cluster 1
AR,Cluster 1
CO,Cluster 1
ID,Cluster 1
IN,Cluster 1
IA,Cluster 1
KS,Cluster 1
KY,Cluster 1
LA,Cluster 1
MI,Cluster 1
MN,Cluster 1
MS,Cluster 1
MO,Cluster 1
MT,Cluster 1
NE,Cluster 1
NM,Cluster 1
ND,Cluster 1
OH,Cluster 1
OK,Cluster 1
SC,Cluster 1
SD,Cluster 1
TN,Cluster 1
WV,Cluster 1
WI,Cluster 1
WY,Cluster 1
AZ,Cluster 2
CA,Cluster 2
FL,Cluster 2
GA,Cluster 2
IL,Cluster 2
NV,Cluster 2
NJ,Cluster 2
NY,Cluster 2
NC,Cluster 2
OR,Cluster 2
TX,Cluster 2
VA,Cluster 2
CT,Cluster 3
DE,Cluster 3
ME,Cluster 3
MD,Cluster 3
MA,Cluster 3
NH,Cluster 3
PA,Cluster 3
RI,Cluster 3
VT,Cluster 3
WA,Cluster 3
