Most common words,Absolute frequency,Relative frequency
one,593.0,0.0067894803127969685
said,584.0,0.0066864359235639615
mr,543.0,0.006217011483724711
could,504.0,0.005770485797048351
like,397.0,0.0045454025028337204
rochester,366.0,0.004190471828808921
well,348.0,0.003984383050342909
jane,342.0,0.003915686790854238
little,341.0,0.003904237414272793
sir,315.0,0.003606553623155219
miss,310.0,0.0035493067402479934
must,305.0,0.003492059857340768
never,292.0,0.0033432179617819808
see,272.0,0.003114230430153078
room,263.0,0.003011186040920072
thought,255.0,0.002919591028268511
mrs,252.0,0.0028852428985241753
go,249.0,0.00285089476877984
long,248.0,0.0028394453921983948
still,246.0,0.0028165466390355047
time,243.0,0.002782198509291169
yet,243.0,0.002782198509291169
shall,237.0,0.002713502249802498
day,236.0,0.002702052873221053
good,234.0,0.0026791541200581626
know,226.0,0.0025875591074066015
come,223.0,0.0025532109776622664
night,222.0,0.002541761601080821
looked,221.0,0.002530312224499376
think,216.0,0.0024730653415921504
seemed,210.0,0.0024043690821034793
much,207.0,0.002370020952359144
john,202.0,0.0023127740694519183
yes,202.0,0.0023127740694519183
say,198.0,0.0022669765631261377
two,198.0,0.0022669765631261377
face,191.0,0.0021868309270560216
saw,186.0,0.002129584044148796
eyes,186.0,0.002129584044148796
first,184.0,0.002106685290985906
door,183.0,0.0020952359144044605
hand,182.0,0.0020837865378230155
house,182.0,0.0020837865378230155
heard,180.0,0.0020608877846601255
heart,175.0,0.0020036409017528995
last,174.0,0.0019921915251714544
came,173.0,0.0019807421485900094
nothing,166.0,0.0019005965125198933
made,165.0,0.001889147135938448
felt,162.0,0.0018547990061941128
life,161.0,0.0018433496296126675
ever,160.0,0.0018319002530312225
might,159.0,0.0018204508764497773
asked,155.0,0.0017746533701239967
look,154.0,0.0017632039935425517
soon,153.0,0.0017517546169611065
love,151.0,0.0017288558637982162
take,151.0,0.0017288558637982162
tell,148.0,0.0016945077340538807
way,148.0,0.0016945077340538807
make,148.0,0.0016945077340538807
away,147.0,0.0016830583574724356
went,144.0,0.0016487102277281001
man,144.0,0.0016487102277281001
left,143.0,0.001637260851146655
may,142.0,0.0016258114745652098
quite,141.0,0.0016143620979837648
without,141.0,0.0016143620979837648
put,138.0,0.0015800139682394293
st,137.0,0.0015685645916579843
fairfax,137.0,0.0015685645916579843
something,136.0,0.001557115215076539
head,136.0,0.001557115215076539
though,135.0,0.001545665838495094
back,135.0,0.001545665838495094
adele,135.0,0.001545665838495094
half,134.0,0.0015342164619136487
let,133.0,0.0015227670853322037
cannot,132.0,0.0015113177087507585
bessie,131.0,0.0014998683321693134
near,131.0,0.0014998683321693134
reed,129.0,0.0014769695790064232
give,129.0,0.0014769695790064232
hour,128.0,0.001465520202424978
found,125.0,0.0014311720726806426
better,125.0,0.0014311720726806426
us,124.0,0.0014197226960991974
voice,124.0,0.0014197226960991974
mind,124.0,0.0014197226960991974
stood,124.0,0.0014197226960991974
rather,123.0,0.0014082733195177524
took,123.0,0.0014082733195177524
morning,121.0,0.001385374566354862
fire,121.0,0.001385374566354862
even,120.0,0.0013739251897734168
great,118.0,0.0013510264366105266
old,117.0,0.0013395770600290813
eye,117.0,0.0013395770600290813
far,117.0,0.0013395770600290813
round,116.0,0.0013281276834476363
oh,114.0,0.001305228930284746
indeed,113.0,0.0012937795537033008
another,113.0,0.0012937795537033008
knew,112.0,0.0012823301771218557
till,112.0,0.0012823301771218557
moment,110.0,0.0012594314239589655
new,109.0,0.0012479820473775202
god,109.0,0.0012479820473775202
leave,108.0,0.0012365326707960752
place,107.0,0.00122508329421463
enough,107.0,0.00122508329421463
sat,105.0,0.0012021845410517397
hall,105.0,0.0012021845410517397
wish,105.0,0.0012021845410517397
