Most common words,Absolute frequency,Relative frequency
heathcliff,475.0,0.008734989609959727
linton,404.0,0.007429338531418379
catherine,379.0,0.00696960223615734
said,375.0,0.006896044428915574
mr,312.0,0.005737508964857758
one,290.0,0.005332941025028044
could,279.0,0.005130657055113187
master,205.0,0.003769837621140514
shall,191.0,0.0035123852957943324
come,190.0,0.0034939958439838908
us,181.0,0.003328490777689917
must,181.0,0.003328490777689917
never,180.0,0.0033101013258794755
hareton,179.0,0.003291711874069034
little,178.0,0.0032733224222585926
go,178.0,0.0032733224222585926
see,174.0,0.0031997646150168264
like,156.0,0.002868754482428879
answered,156.0,0.002868754482428879
till,151.0,0.002776807223376671
house,144.0,0.0026480810607035802
joseph,140.0,0.0025745232534618145
let,140.0,0.0025745232534618145
well,135.0,0.0024825759944096066
door,133.0,0.0024457970907887237
mrs,133.0,0.0024457970907887237
might,131.0,0.0024090181871678404
miss,131.0,0.0024090181871678404
earnshaw,129.0,0.0023722392835469576
time,127.0,0.0023354603799260742
father,127.0,0.0023354603799260742
cathy,124.0,0.0022802920244947497
tell,122.0,0.002243513120873867
though,121.0,0.002225123669063425
know,121.0,0.002225123669063425
back,121.0,0.002225123669063425
get,120.0,0.0022067342172529835
thought,118.0,0.0021699553136321006
good,117.0,0.002151565861821659
replied,117.0,0.002151565861821659
eyes,116.0,0.0021331764100112178
edgar,116.0,0.0021331764100112178
take,115.0,0.002114786958200776
first,114.0,0.0020963975063903345
cried,114.0,0.0020963975063903345
think,113.0,0.002078008054579893
may,110.0,0.0020228396991485683
nothing,110.0,0.0020228396991485683
two,108.0,0.0019860607955276854
day,108.0,0.0019860607955276854
say,107.0,0.0019676713437172437
young,107.0,0.0019676713437172437
oh,106.0,0.0019492818919068023
came,106.0,0.0019492818919068023
yet,105.0,0.0019308924400963606
last,105.0,0.0019308924400963606
asked,105.0,0.0019308924400963606
make,105.0,0.0019308924400963606
night,104.0,0.0019125029882859192
made,102.0,0.001875724084665036
face,101.0,0.0018573346328545947
room,101.0,0.0018573346328545947
still,99.0,0.0018205557292337116
ellen,99.0,0.0018205557292337116
heights,98.0,0.00180216627742327
look,98.0,0.00180216627742327
long,97.0,0.0017837768256128285
much,96.0,0.001765387373802387
took,96.0,0.001765387373802387
hand,94.0,0.001728608470181504
head,93.0,0.0017102190183710623
home,91.0,0.0016734401147501792
man,90.0,0.0016550506629397378
love,90.0,0.0016550506629397378
going,89.0,0.0016366612111292963
nelly,89.0,0.0016366612111292963
went,88.0,0.0016182717593188547
grange,87.0,0.0015998823075084132
half,87.0,0.0015998823075084132
away,87.0,0.0015998823075084132
another,86.0,0.0015814928556979716
put,85.0,0.0015631034038875301
heart,83.0,0.001526324500266647
old,82.0,0.0015079350484562056
every,82.0,0.0015079350484562056
better,81.0,0.001489545596645764
saw,80.0,0.0014711561448353225
way,80.0,0.0014711561448353225
hindley,80.0,0.0014711561448353225
heard,79.0,0.0014527666930248808
told,79.0,0.0014527666930248808
got,79.0,0.0014527666930248808
wish,77.0,0.001415987789403998
place,75.0,0.0013792088857831149
rather,75.0,0.0013792088857831149
looked,75.0,0.0013792088857831149
mind,75.0,0.0013792088857831149
exclaimed,75.0,0.0013792088857831149
cannot,74.0,0.0013608194339726732
papa,74.0,0.0013608194339726732
soon,73.0,0.0013424299821622318
fire,73.0,0.0013424299821622318
left,72.0,0.0013240405303517901
began,72.0,0.0013240405303517901
hear,71.0,0.0013056510785413487
lady,70.0,0.0012872616267309072
seemed,69.0,0.0012688721749204656
keep,69.0,0.0012688721749204656
ever,68.0,0.0012504827231100241
give,68.0,0.0012504827231100241
kitchen,67.0,0.0012320932712995825
leave,67.0,0.0012320932712995825
continued,67.0,0.0012320932712995825
however,65.0,0.0011953143676786994
bed,65.0,0.0011953143676786994
cousin,65.0,0.0011953143676786994
round,63.0,0.0011585354640578165
great,63.0,0.0011585354640578165
isabella,63.0,0.0011585354640578165
returned,62.0,0.0011401460122473749
felt,62.0,0.0011401460122473749
whole,62.0,0.0011401460122473749
set,62.0,0.0011401460122473749
since,62.0,0.0011401460122473749
evening,62.0,0.0011401460122473749
morning,62.0,0.0011401460122473749
done,62.0,0.0011401460122473749
wuthering,61.0,0.0011217565604369334
without,61.0,0.0011217565604369334
alone,61.0,0.0011217565604369334
window,60.0,0.0011033671086264918
hands,59.0,0.0010849776568160503
hour,59.0,0.0010849776568160503
speak,59.0,0.0010849776568160503
side,57.0,0.0010481987531951672
coming,56.0,0.0010298093013847258
open,56.0,0.0010298093013847258
child,56.0,0.0010298093013847258
yes,56.0,0.0010298093013847258
enough,56.0,0.0010298093013847258
three,55.0,0.0010114198495742841
whether,55.0,0.0010114198495742841
life,55.0,0.0010114198495742841
ill,54.0,0.0009930303977638427
sat,53.0,0.0009746409459534011
always,53.0,0.0009746409459534011
thing,53.0,0.0009746409459534011
poor,52.0,0.0009562514941429596
stairs,52.0,0.0009562514941429596
mine,52.0,0.0009562514941429596
right,51.0,0.000937862042332518
something,51.0,0.000937862042332518
want,51.0,0.000937862042332518
gone,51.0,0.000937862042332518
mistress,51.0,0.000937862042332518
chair,50.0,0.0009194725905220765
sit,50.0,0.0009194725905220765
answer,49.0,0.000901083138711635
even,49.0,0.000901083138711635
stay,49.0,0.000901083138711635
next,49.0,0.000901083138711635
dean,49.0,0.000901083138711635
talk,49.0,0.000901083138711635
entered,48.0,0.0008826936869011935
brought,48.0,0.0008826936869011935
found,48.0,0.0008826936869011935
quite,48.0,0.0008826936869011935
care,47.0,0.000864304235090752
word,47.0,0.000864304235090752
sure,47.0,0.000864304235090752
else,47.0,0.000864304235090752
