Most common words,Jane Eyre relative frequency,Wuthering Heights relative frequency,Relative frequency difference
heathcliff,0.0,0.008734989609959727,0.008734989609959727
linton,0.0,0.007429338531418379,0.007429338531418379
catherine,1.144937658144514e-05,0.00696960223615734,0.006958152859575895
hareton,0.0,0.003291711874069034,0.003291711874069034
sir,0.003606553623155219,0.0007907464278489858,0.002815807195306233
master,0.0011334882815630689,0.003769837621140514,0.002636349339577445
joseph,0.0,0.0025745232534618145,0.0025745232534618145
earnshaw,0.0,0.0023722392835469576,0.0023722392835469576
cathy,0.0,0.0022802920244947497,0.0022802920244947497
edgar,0.0,0.0021331764100112178,0.0021331764100112178
answered,0.0008587032436083856,0.002868754482428879,0.0020100512388204934
us,0.0014197226960991974,0.003328490777689917,0.0019087680815907198
ellen,0.0,0.0018205557292337116,0.0018205557292337116
replied,0.0003663800506062445,0.002151565861821659,0.0017851858112154146
heights,2.289875316289028e-05,0.00180216627742327,0.0017792675242603796
father,0.0006411650885609279,0.0023354603799260742,0.0016942952913651464
like,0.0045454025028337204,0.002868754482428879,0.0016766480204048416
nelly,0.0,0.0016366612111292963,0.0016366612111292963
grange,3.4348129744335424e-05,0.0015998823075084132,0.0015655341777640777
well,0.003984383050342909,0.0024825759944096066,0.0015018070559333022
till,0.0012823301771218557,0.002776807223376671,0.0014944770462548152
hindley,0.0,0.0014711561448353225,0.0014711561448353225
one,0.0067894803127969685,0.005332941025028044,0.0014565392877689248
cried,0.000652614465142373,0.0020963975063903345,0.0014437830412479613
yes,0.0023127740694519183,0.0010298093013847258,0.0012829647680671925
papa,0.00010304438923300626,0.0013608194339726732,0.0012577750447396669
isabella,0.0,0.0011585354640578165,0.0011585354640578165
room,0.003011186040920072,0.0018573346328545947,0.0011538514080654773
get,0.001053342645492953,0.0022067342172529835,0.0011533915717600305
looked,0.002530312224499376,0.0013792088857831149,0.001151103338716261
miss,0.0035493067402479934,0.0024090181871678404,0.001140288553080153
seemed,0.0024043690821034793,0.0012688721749204656,0.0011354969071830138
wuthering,0.0,0.0011217565604369334,0.0011217565604369334
cousin,0.0001373925189773417,0.0011953143676786994,0.0010579218487013578
long,0.0028394453921983948,0.0017837768256128285,0.0010556685665855663
let,0.0015227670853322037,0.0025745232534618145,0.0010517561681296108
young,0.0009273995030970564,0.0019676713437172437,0.0010402718406201873
still,0.0028165466390355047,0.0018205557292337116,0.0009959909098017931
come,0.0025532109776622664,0.0034939958439838908,0.0009407848663216243
eye,0.0013395770600290813,0.00040456793982971366,0.0009350091201993677
dean,0.0,0.000901083138711635,0.000901083138711635
exclaimed,0.0005037725695835861,0.0013792088857831149,0.0008754363161995287
yet,0.002782198509291169,0.0019308924400963606,0.0008513060691948085
kitchen,0.00038927880376913475,0.0012320932712995825,0.0008428144675304477
life,0.0018433496296126675,0.0010114198495742841,0.0008319297800383834
going,0.0008129057372826049,0.0016366612111292963,0.0008237554738466914
shall,0.002713502249802498,0.0035123852957943324,0.0007988830459918343
stairs,0.00019463940188456738,0.0009562514941429596,0.0007616120922583922
lad,1.144937658144514e-05,0.0007723569760385443,0.0007609075994570992
home,0.0009159501265156113,0.0016734401147501792,0.0007574899882345679
new,0.0012479820473775202,0.0004965151988819213,0.0007514668484955989
thought,0.002919591028268511,0.0021699553136321006,0.0007496357146364102
voice,0.0014197226960991974,0.0006804097169863366,0.0007393129791128608
quite,0.0016143620979837648,0.0008826936869011935,0.0007316684110825713
passed,0.0010762413986558433,0.0003493995843983891,0.0007268418142574542
began,0.0006068169588165925,0.0013240405303517901,0.0007172235715351977
day,0.002702052873221053,0.0019860607955276854,0.0007159920776933677
felt,0.0018547990061941128,0.0011401460122473749,0.0007146529939467379
near,0.0014998683321693134,0.0007907464278489858,0.0007091219043203277
indeed,0.0012937795537033008,0.000588462457934129,0.0007053170957691718
though,0.001545665838495094,0.002225123669063425,0.0006794578305683312
back,0.001545665838495094,0.002225123669063425,0.0006794578305683312
mistress,0.0002747850379546834,0.000937862042332518,0.0006630770043778347
gimmerton,0.0,0.0006620202651758951,0.0006620202651758951
saw,0.002129584044148796,0.0014711561448353225,0.0006584278993134736
son,0.00010304438923300626,0.0007539675242281028,0.0006509231349950966
ill,0.0003434812974433542,0.0009930303977638427,0.0006495491003204885
oh,0.001305228930284746,0.0019492818919068023,0.0006440529616220563
zillah,0.0,0.0006436308133654536,0.0006436308133654536
could,0.005770485797048351,0.005130657055113187,0.0006398287419351638
little,0.003904237414272793,0.0032733224222585926,0.0006309149920142002
night,0.002541761601080821,0.0019125029882859192,0.0006292586127949018
stood,0.0014197226960991974,0.0007907464278489858,0.0006289762682502116
bid,0.00011449376581445141,0.0007355780724176612,0.0006210843066032099
something,0.001557115215076539,0.000937862042332518,0.000619253172744021
woman,0.0010762413986558433,0.00045973629526103825,0.000616505103394805
heard,0.0020608877846601255,0.0014527666930248808,0.0006081210916352446
much,0.002370020952359144,0.001765387373802387,0.0006046335785567568
among,0.00020608877846601251,0.0008091358796594273,0.0006030471011934148
unless,0.00011449376581445141,0.0007171886206072197,0.0006026948547927683
boy,0.00011449376581445141,0.0007171886206072197,0.0006026948547927683
strange,0.0011105895284001786,0.0005149046506923629,0.0005956848777078157
